sku,product_name,original_filename,renamed_png,optimized_webp
JWLD-001,Honey Bee Stripe Rhinestone Lighter,"ChatGPT Image May 3, 2026, 03_47_57 AM (3).png",jwld-001-honey-bee-stripe-rhinestone-lighter.png,jwld-001-honey-bee-stripe-rhinestone-lighter.webp
JWLD-002,Golden Honey Bee Rhinestone Lighter,"ChatGPT Image May 3, 2026, 03_47_57 AM (4).png",jwld-002-golden-honey-bee-rhinestone-lighter.png,jwld-002-golden-honey-bee-rhinestone-lighter.webp
JWLD-003,Citrus Stripe Beaded Lighter,"ChatGPT Image May 3, 2026, 03_47_57 AM (5).png",jwld-003-citrus-stripe-beaded-lighter.png,jwld-003-citrus-stripe-beaded-lighter.webp
JWLD-004,Blue AB Bitch Lettered Lighter,"ChatGPT Image May 3, 2026, 03_47_57 AM (2).png",jwld-004-blue-ab-bitch-lettered-lighter.png,jwld-004-blue-ab-bitch-lettered-lighter.webp
JWLD-005,Blueberry Pop Rhinestone Lighter,"ChatGPT Image May 3, 2026, 03_47_56 AM (1).png",jwld-005-blueberry-pop-rhinestone-lighter.png,jwld-005-blueberry-pop-rhinestone-lighter.webp
JWLD-006,Powder Blue Beaded Lighter,"ChatGPT Image May 3, 2026, 03_57_56 AM (7).png",jwld-006-powder-blue-beaded-lighter.png,jwld-006-powder-blue-beaded-lighter.webp
JWLD-007,Pastel Rainbow Smile Rhinestone Lighter,"ChatGPT Image May 3, 2026, 03_57_57 AM (8).png",jwld-007-pastel-rainbow-smile-rhinestone-lighter.png,jwld-007-pastel-rainbow-smile-rhinestone-lighter.webp
JWLD-008,Midnight Garden Rhinestone Lighter,"ChatGPT Image May 3, 2026, 03_57_57 AM (9).png",jwld-008-midnight-garden-rhinestone-lighter.png,jwld-008-midnight-garden-rhinestone-lighter.webp
JWLD-009,Sunshine Daisy Rhinestone Lighter,"ChatGPT Image May 3, 2026, 03_57_57 AM (10).png",jwld-009-sunshine-daisy-rhinestone-lighter.png,jwld-009-sunshine-daisy-rhinestone-lighter.webp
JWLD-010,Santa Suit Beaded Lighter,"ChatGPT Image May 3, 2026, 03_57_55 AM (1).png",jwld-010-santa-suit-beaded-lighter.png,jwld-010-santa-suit-beaded-lighter.webp
JWLD-011,Champagne Monogram B Beaded Lighter,"ChatGPT Image May 3, 2026, 03_57_55 AM (2).png",jwld-011-champagne-monogram-b-beaded-lighter.png,jwld-011-champagne-monogram-b-beaded-lighter.webp
JWLD-012,Candy Cane Stripe Beaded Lighter,"ChatGPT Image May 3, 2026, 03_57_56 AM (3).png",jwld-012-candy-cane-stripe-beaded-lighter.png,jwld-012-candy-cane-stripe-beaded-lighter.webp
JWLD-013,Snowman Beaded Lighter,"ChatGPT Image May 3, 2026, 03_57_56 AM (4).png",jwld-013-snowman-beaded-lighter.png,jwld-013-snowman-beaded-lighter.webp
JWLD-014,Neon Lime Beaded Lighter,"ChatGPT Image May 3, 2026, 03_57_56 AM (5).png",jwld-014-neon-lime-beaded-lighter.png,jwld-014-neon-lime-beaded-lighter.webp
JWLD-015,Pearl Opal Rhinestone Lighter,"ChatGPT Image May 3, 2026, 03_57_56 AM (6).png",jwld-015-pearl-opal-rhinestone-lighter.png,jwld-015-pearl-opal-rhinestone-lighter.webp
JWLD-016,Black Onyx Rhinestone Lighter,"ChatGPT Image May 3, 2026, 03_54_55 AM (4).png",jwld-016-black-onyx-rhinestone-lighter.png,jwld-016-black-onyx-rhinestone-lighter.webp
JWLD-017,Blue Lagoon Ombre Rhinestone Lighter,"ChatGPT Image May 3, 2026, 03_54_55 AM (5).png",jwld-017-blue-lagoon-ombre-rhinestone-lighter.png,jwld-017-blue-lagoon-ombre-rhinestone-lighter.webp
JWLD-018,Black Onyx Crystal Mini Container,"ChatGPT Image May 3, 2026, 03_54_56 AM (6).png",jwld-018-black-onyx-crystal-mini-container.png,jwld-018-black-onyx-crystal-mini-container.webp
JWLD-019,Lilac Candy Bead Mini Container,"ChatGPT Image May 3, 2026, 03_54_56 AM (7).png",jwld-019-lilac-candy-bead-mini-container.png,jwld-019-lilac-candy-bead-mini-container.webp
JWLD-020,Sunflower Pearl Rhinestone Lighter,"ChatGPT Image May 3, 2026, 03_54_55 AM (1).png",jwld-020-sunflower-pearl-rhinestone-lighter.png,jwld-020-sunflower-pearl-rhinestone-lighter.webp
JWLD-021,Ruby Red Rhinestone Lighter,"ChatGPT Image May 3, 2026, 03_54_55 AM (2).png",jwld-021-ruby-red-rhinestone-lighter.png,jwld-021-ruby-red-rhinestone-lighter.webp
JWLD-022,Lilac Fuck You Beaded Lighter,"ChatGPT Image May 3, 2026, 03_54_55 AM (3).png",jwld-022-lilac-fuck-you-beaded-lighter.png,jwld-022-lilac-fuck-you-beaded-lighter.webp
