sku,name,slug,category,collection,color,image_png,image_webp,short,description,features,tags,alt_text
JWLD-001,Honey Bee Stripe Rhinestone Lighter,honey-bee-stripe-rhinestone-lighter,Lighter,Bee Collection,"Yellow, black, silver",jwld-001-honey-bee-stripe-rhinestone-lighter.png,jwld-001-honey-bee-stripe-rhinestone-lighter.webp,A yellow rhinestone lighter with bold black bee-stripe bands and a small metallic bee charm.,This Honey Bee Stripe Rhinestone Lighter brings a bright yellow crystal wrap together with clean black horizontal striping and a small bee accent near the top. It has a playful boutique look while still feeling polished enough for the JWLD product line.,Hand-decorated rhinestone finish | Black stripe bee-inspired pattern | Metallic bee charm detail | Compact standard lighter shape | One-of-one handmade variation,"bee, yellow, black, rhinestone, lighter, giftable",Honey Bee Stripe Rhinestone Lighter product photo on a warm neutral studio background.
JWLD-002,Golden Honey Bee Rhinestone Lighter,golden-honey-bee-rhinestone-lighter,Lighter,Bee Collection,"Golden yellow, silver",jwld-002-golden-honey-bee-rhinestone-lighter.png,jwld-002-golden-honey-bee-rhinestone-lighter.webp,A golden yellow crystal lighter finished with a metallic bee charm for a clean honey-glow look.,"The Golden Honey Bee Rhinestone Lighter keeps the design simple and bright with a full yellow crystal wrap and a small bee charm placed near the top. It is bold, shiny, and easy to pair with the rest of the JWLD bee-inspired pieces.",Full yellow rhinestone coverage | Metallic bee charm accent | Glossy handmade finish | Compact everyday size | Slight handmade variation,"bee, yellow, gold, rhinestone, lighter",Golden Honey Bee Rhinestone Lighter product photo on a warm neutral studio background.
JWLD-003,Citrus Stripe Beaded Lighter,citrus-stripe-beaded-lighter,Lighter,Color Pop,"Orange, green, yellow",jwld-003-citrus-stripe-beaded-lighter.png,jwld-003-citrus-stripe-beaded-lighter.webp,"A bright orange, green, and yellow beaded lighter with stacked citrus-toned stripes.","The Citrus Stripe Beaded Lighter uses alternating bands of orange, green, and yellow beads for a fresh, candy-bright look. It is a fun statement piece for customers who want something colorful without adding text or charms.",Stacked striped bead pattern | Bright citrus-inspired palette | Smooth rounded bead texture | Compact standard lighter shape | Handmade one-off styling,"orange, green, stripe, beaded, lighter, colorful",Citrus Stripe Beaded Lighter product photo on a warm neutral studio background.
JWLD-004,Blue AB Bitch Lettered Lighter,blue-ab-bitch-lettered-lighter,Lighter,Attitude Collection,"Blue AB, black, white",jwld-004-blue-ab-bitch-lettered-lighter.png,jwld-004-blue-ab-bitch-lettered-lighter.webp,A blue AB rhinestone lighter with vertical letter beads spelling BITCH down the front.,"The Blue AB Bitch Lettered Lighter pairs electric blue aurora-style stones with bold vertical letter beads for a sharp attitude piece. It is loud, glossy, and made for customers who want their accessory to say something before they do.",Blue AB rhinestone coverage | Vertical letter bead statement | High-shine crystal finish | Compact standard lighter shape | One-of-one handmade variation,"blue, AB, lettered, attitude, rhinestone, lighter",Blue AB Bitch Lettered Lighter product photo on a warm neutral studio background.
JWLD-005,Blueberry Pop Rhinestone Lighter,blueberry-pop-rhinestone-lighter,Lighter,Color Pop,"Blue, pink, orange",jwld-005-blueberry-pop-rhinestone-lighter.png,jwld-005-blueberry-pop-rhinestone-lighter.webp,A blue crystal lighter with pink and orange accent stones for a bright candy-pop finish.,"The Blueberry Pop Rhinestone Lighter mixes cool blue stones with warm pink and orange accents for a playful, high-shine color blend. It has a clean product-card look with enough color variation to stand out in a grid.","Mixed blue, pink, and orange rhinestones | Bright candy-inspired palette | Hand-applied stonework | Compact standard lighter shape | Slight handmade variation","blue, pink, orange, rhinestone, lighter, colorful",Blueberry Pop Rhinestone Lighter product photo on a warm neutral studio background.
JWLD-006,Powder Blue Beaded Lighter,powder-blue-beaded-lighter,Lighter,Soft Solids,Powder blue,jwld-006-powder-blue-beaded-lighter.png,jwld-006-powder-blue-beaded-lighter.webp,"A clean powder blue beaded lighter with a soft, simple monochrome finish.","The Powder Blue Beaded Lighter keeps the look minimal with a full wrap of smooth light-blue beads. It is simple, clean, and easy to style with lighter-colored JWLD accessories.",Solid powder blue bead wrap | Soft monochrome look | Smooth rounded bead texture | Compact standard lighter shape | Handmade one-off styling,"blue, powder-blue, beaded, lighter, minimal",Powder Blue Beaded Lighter product photo on a warm neutral studio background.
JWLD-007,Pastel Rainbow Smile Rhinestone Lighter,pastel-rainbow-smile-rhinestone-lighter,Lighter,Happy Icons,"Pink, rainbow, silver",jwld-007-pastel-rainbow-smile-rhinestone-lighter.png,jwld-007-pastel-rainbow-smile-rhinestone-lighter.webp,"A pastel pink rhinestone lighter with rainbow tones, small smile accents, and playful sparkle.","The Pastel Rainbow Smile Rhinestone Lighter blends pink stones with rainbow accents and small decorative smile details. It reads cute, bright, and playful without losing the boutique handmade feel.",Pastel rhinestone finish | Rainbow accent stones | Small smiley-style details | Compact standard lighter shape | One-of-one handmade variation,"pastel, rainbow, pink, smiley, rhinestone, lighter",Pastel Rainbow Smile Rhinestone Lighter product photo on a warm neutral studio background.
JWLD-008,Midnight Garden Rhinestone Lighter,midnight-garden-rhinestone-lighter,Lighter,Dark Shine,"Black, multicolor",jwld-008-midnight-garden-rhinestone-lighter.png,jwld-008-midnight-garden-rhinestone-lighter.webp,A black rhinestone lighter scattered with colorful flower-like crystal accents.,The Midnight Garden Rhinestone Lighter starts with a dark crystal base and adds small multicolor floral accents across the front. It has a moodier look than the bright pieces while still giving off JWLD-level sparkle.,Black rhinestone base | Multicolor floral accent pattern | Dark boutique finish | Compact standard lighter shape | Handmade one-off styling,"black, floral, multicolor, rhinestone, lighter, dark",Midnight Garden Rhinestone Lighter product photo on a warm neutral studio background.
JWLD-009,Sunshine Daisy Rhinestone Lighter,sunshine-daisy-rhinestone-lighter,Lighter,Flower Collection,"Yellow, green, black",jwld-009-sunshine-daisy-rhinestone-lighter.png,jwld-009-sunshine-daisy-rhinestone-lighter.webp,A yellow rhinestone lighter with sunflower-style accents for a bright floral statement.,"The Sunshine Daisy Rhinestone Lighter uses a full yellow crystal wrap with stacked floral accents down the front. It is cheerful, loud, and built for customers who want a lighter that feels like a tiny accessory piece.",Yellow rhinestone coverage | Sunflower-style accent details | Bright floral look | Compact standard lighter shape | Slight handmade variation,"yellow, sunflower, daisy, floral, rhinestone, lighter",Sunshine Daisy Rhinestone Lighter product photo on a warm neutral studio background.
JWLD-010,Santa Suit Beaded Lighter,santa-suit-beaded-lighter,Lighter,Holiday Collection,"Red, white, black",jwld-010-santa-suit-beaded-lighter.png,jwld-010-santa-suit-beaded-lighter.webp,A red beaded lighter with white and black bands inspired by a classic holiday suit look.,"The Santa Suit Beaded Lighter uses a red bead wrap with crisp white and black banding for a festive holiday-inspired design. It is seasonal without being too complicated, making it easy to merchandise in gift sets.",Red bead wrap | White and black holiday-style bands | Smooth rounded bead texture | Compact standard lighter shape | Handmade one-off styling,"red, holiday, christmas, beaded, lighter, giftable",Santa Suit Beaded Lighter product photo on a warm neutral studio background.
