id,slug,sku,name,category,type,collection,priceCents,currency,shortDescription,description,features,mainColor,accentColors,finish,style,tags,image,thumbnail,inventoryQuantity,status,featured,care,seoTitle,seoDescription
jwld-santa-suit-crystal-lighter,santa-suit-crystal-lighter,JWLD-LTR-HOL-001,Santa Suit Crystal Lighter,Decorated Lighters,lighter,Holiday Sparkle,2600,USD,"A red rhinestone lighter with white trim, a black belt detail, and a tiny gold buckle for a full Santa-suit sparkle look.","The Santa Suit Crystal Lighter turns a basic everyday lighter into a holiday statement piece. Bright red crystals cover the body, while white rhinestone bands create the classic trim effect. A black belt row and small gold buckle detail finish the design with just enough festive attitude.",Red crystal-covered body | White trim-inspired rhinestone rows | Black belt detail with gold buckle accent | Silver metal top with red ignition button visible | Hand-decorated statement accessory,Red,White | Black | Gold,Faceted rhinestone crystal,Holiday / Santa / festive,holiday | christmas | santa | red | rhinestone | lighter | gift,/products/jwld-santa-suit-crystal-lighter-01.webp,/products/jwld-santa-suit-crystal-lighter-thumb.webp,1,active,false,"Handle gently. Avoid dropping, scraping, soaking, or picking at the beadwork/rhinestones. Wipe with a soft dry cloth.",Santa Suit Crystal Lighter | JWLD,"A red rhinestone lighter with white trim, a black belt detail, and a tiny gold buckle for a full Santa-suit sparkle look."
jwld-gingerbread-gold-beaded-lighter,gingerbread-gold-beaded-lighter,JWLD-LTR-HOL-002,Gingerbread Gold Beaded Lighter,Decorated Lighters,lighter,Holiday Sparkle,2400,USD,A warm gold beaded lighter with white stripe accents and a darker center motif for a cozy gingerbread-inspired finish.,"The Gingerbread Gold Beaded Lighter has a warm holiday-cookie vibe without going too literal. Gold-tone beads wrap the body with clean white accent bands, while the darker center detail gives it a handmade, festive focal point. It is soft, neutral, and giftable while still catching light from every angle.",Gold-tone beaded body | Glossy white horizontal accent bands | Darker center bead motif | Silver metal top with red ignition button visible | Hand-decorated textured finish,Gold,White | Amber | Brown,Glossy beadwork,Holiday / gingerbread / neutral glam,holiday | gingerbread | gold | white | beaded | lighter | neutral,/products/jwld-gingerbread-gold-beaded-lighter-01.webp,/products/jwld-gingerbread-gold-beaded-lighter-thumb.webp,1,active,false,"Handle gently. Avoid dropping, scraping, soaking, or picking at the beadwork/rhinestones. Wipe with a soft dry cloth.",Gingerbread Gold Beaded Lighter | JWLD,A warm gold beaded lighter with white stripe accents and a darker center motif for a cozy gingerbread-inspired finish.
jwld-candy-cane-stripe-lighter,candy-cane-stripe-lighter,JWLD-LTR-HOL-003,Candy Cane Stripe Lighter,Decorated Lighters,lighter,Holiday Sparkle,2400,USD,"A red, white, and green striped rhinestone lighter with a bright holiday candy-cane look.","The Candy Cane Stripe Lighter brings classic holiday color in a clean, repeating stripe pattern. Rows of red, white, and green crystals wrap the body for a polished seasonal look that feels playful but still boutique-ready.","Alternating red, white, and green crystal rows | Full-body rhinestone coverage | Holiday stripe layout | Silver metal top with red ignition button visible | Bright handmade accessory finish",Multicolor,Red | White | Green,Faceted rhinestone crystal,Holiday / candy cane / striped,holiday | christmas | candy cane | stripe | red | green | lighter,/products/jwld-candy-cane-stripe-lighter-01.webp,/products/jwld-candy-cane-stripe-lighter-thumb.webp,1,active,false,"Handle gently. Avoid dropping, scraping, soaking, or picking at the beadwork/rhinestones. Wipe with a soft dry cloth.",Candy Cane Stripe Lighter | JWLD,"A red, white, and green striped rhinestone lighter with a bright holiday candy-cane look."
jwld-snowman-beaded-lighter,snowman-beaded-lighter,JWLD-LTR-HOL-004,Snowman Beaded Lighter,Decorated Lighters,lighter,Holiday Sparkle,2600,USD,"A white beaded snowman lighter with a black hat, bead-button details, and a tiny orange nose.","The Snowman Beaded Lighter is cute, clean, and instantly recognizable. Glossy white beads form the snowman body, black beadwork creates the hat, face, and buttons, and a small orange bead gives it the classic carrot-nose detail. It is an easy seasonal standout.",Glossy white beaded snowman body | Black beaded hat and button details | Small orange nose accent | Silver metal top with red ignition button visible | Hand-decorated winter accessory,White,Black | Orange,Glossy beadwork,Holiday / winter / snowman,snowman | winter | holiday | white | beaded | lighter | cute,/products/jwld-snowman-beaded-lighter-01.webp,/products/jwld-snowman-beaded-lighter-thumb.webp,1,active,false,"Handle gently. Avoid dropping, scraping, soaking, or picking at the beadwork/rhinestones. Wipe with a soft dry cloth.",Snowman Beaded Lighter | JWLD,"A white beaded snowman lighter with a black hat, bead-button details, and a tiny orange nose."
jwld-neon-lime-beaded-lighter,neon-lime-beaded-lighter,JWLD-LTR-BRT-001,Neon Lime Beaded Lighter,Decorated Lighters,lighter,Everyday Bling,2200,USD,"A solid neon-lime beaded lighter with a glossy, bright, high-energy finish.","The Neon Lime Beaded Lighter keeps the design simple and loud. A full wrap of bright green beads gives it a bold pop-color look that works with playful, rave, summer, or Y2K styling.",Solid neon green bead coverage | Glossy textured surface | Clean single-color design | Silver metal top with red ignition button visible | Bright everyday statement accessory,Neon green,Silver | Red,Glossy beadwork,Bright / Y2K / pop color,green | neon | lime | beaded | lighter | y2k | bright,/products/jwld-neon-lime-beaded-lighter-01.webp,/products/jwld-neon-lime-beaded-lighter-thumb.webp,1,active,false,"Handle gently. Avoid dropping, scraping, soaking, or picking at the beadwork/rhinestones. Wipe with a soft dry cloth.",Neon Lime Beaded Lighter | JWLD,"A solid neon-lime beaded lighter with a glossy, bright, high-energy finish."
jwld-champagne-pearl-lighter,champagne-pearl-lighter,JWLD-LTR-NEU-001,Champagne Pearl Lighter,Decorated Lighters,lighter,Everyday Bling,2400,USD,A soft champagne pearl beaded lighter with a clean neutral shine and subtle iridescent glow.,"The Champagne Pearl Lighter is the clean neutral option in the lineup. Pale cream and champagne-toned beads create a soft pearled look with just enough shimmer to feel polished, minimal, and gift-ready.",Champagne and cream pearl-style bead coverage | Soft iridescent highlights | Minimal neutral design | Silver metal top with red ignition button visible | Hand-decorated boutique accessory,Champagne pearl,Cream | Ivory | Silver,Pearl-style glossy beadwork,Minimal / neutral / soft glam,champagne | pearl | neutral | cream | beaded | lighter | minimal,/products/jwld-champagne-pearl-lighter-01.webp,/products/jwld-champagne-pearl-lighter-thumb.webp,1,active,false,"Handle gently. Avoid dropping, scraping, soaking, or picking at the beadwork/rhinestones. Wipe with a soft dry cloth.",Champagne Pearl Lighter | JWLD,A soft champagne pearl beaded lighter with a clean neutral shine and subtle iridescent glow.
jwld-baby-blue-beaded-lighter,baby-blue-beaded-lighter,JWLD-LTR-PST-001,Baby Blue Beaded Lighter,Decorated Lighters,lighter,Cute Chaos,2200,USD,A pastel baby-blue beaded lighter with a soft glossy finish and clean full-wrap design.,"The Baby Blue Beaded Lighter is simple, bright, and easy to style. Smooth pastel blue beads cover the full body for a clean monochrome look with soft shine and a handmade texture.",Solid pastel blue bead coverage | Glossy full-wrap finish | Clean monochrome design | Silver metal top with red ignition button visible | Hand-decorated everyday accessory,Baby blue,Silver | Red,Glossy beadwork,Pastel / clean / cute,blue | pastel | baby blue | beaded | lighter | cute | minimal,/products/jwld-baby-blue-beaded-lighter-01.webp,/products/jwld-baby-blue-beaded-lighter-thumb.webp,1,active,false,"Handle gently. Avoid dropping, scraping, soaking, or picking at the beadwork/rhinestones. Wipe with a soft dry cloth.",Baby Blue Beaded Lighter | JWLD,A pastel baby-blue beaded lighter with a soft glossy finish and clean full-wrap design.
jwld-rainbow-kitty-crystal-lighter,rainbow-kitty-crystal-lighter,JWLD-LTR-CUTE-001,Rainbow Kitty Crystal Lighter,Decorated Lighters,lighter,Cute Chaos,2800,USD,A pink rhinestone lighter with rainbow crystal sections and cute kitty-face details down the front.,"The Rainbow Kitty Crystal Lighter is the cute statement piece. A soft pink crystal base gets layered with rainbow color sections and tiny kitty-face details, giving it a playful Sanrio-style energy without losing the polished rhinestone shine.",Pink rhinestone body | Rainbow crystal color sections | Cute kitty-face detail accents | Silver metal top with red ignition button visible | Hand-decorated playful statement accessory,Pink,Rainbow | White | Black,Faceted rhinestone crystal,Cute / pastel / kawaii / rainbow,kitty | cat | rainbow | pink | cute | rhinestone | lighter,/products/jwld-rainbow-kitty-crystal-lighter-01.webp,/products/jwld-rainbow-kitty-crystal-lighter-thumb.webp,1,active,false,"Handle gently. Avoid dropping, scraping, soaking, or picking at the beadwork/rhinestones. Wipe with a soft dry cloth.",Rainbow Kitty Crystal Lighter | JWLD,A pink rhinestone lighter with rainbow crystal sections and cute kitty-face details down the front.
jwld-midnight-star-scatter-lighter,midnight-star-scatter-lighter,JWLD-LTR-GLM-001,Midnight Star Scatter Lighter,Decorated Lighters,lighter,Dark Glam,2800,USD,A black rhinestone lighter scattered with colorful crystal stars for a glossy night-sky look.,"The Midnight Star Scatter Lighter is dark, glossy, and full of color hits. Black rhinestones cover the body while multicolor star accents pop across the front, creating a night-sky effect that feels glam, playful, and slightly edgy.",Glossy black rhinestone body | Multicolor crystal star accents | Night-sky scatter layout | Silver metal top with red ignition button visible | High-shine hand-decorated finish,Black,Pink | Blue | Purple | Green | Gold | Silver,Faceted rhinestone crystal,Glam / starry / edgy,black | stars | night sky | rhinestone | colorful | lighter | glam,/products/jwld-midnight-star-scatter-lighter-01.webp,/products/jwld-midnight-star-scatter-lighter-thumb.webp,1,active,false,"Handle gently. Avoid dropping, scraping, soaking, or picking at the beadwork/rhinestones. Wipe with a soft dry cloth.",Midnight Star Scatter Lighter | JWLD,A black rhinestone lighter scattered with colorful crystal stars for a glossy night-sky look.
jwld-sunflower-yellow-beaded-lighter,sunflower-yellow-beaded-lighter,JWLD-LTR-FLR-001,Sunflower Yellow Beaded Lighter,Decorated Lighters,lighter,Flower Shop,2800,USD,A bright yellow beaded lighter with stacked sunflower designs and green leaf accents.,"The Sunflower Yellow Beaded Lighter is bright, warm, and handmade-looking in the best way. Yellow beads cover the body while stacked sunflower motifs add brown centers, orange-yellow petals, and small green leaf accents for a sunny floral finish.",Bright yellow beaded body | Stacked sunflower bead motifs | Green leaf accent details | Silver metal top with red ignition button visible | Hand-decorated floral statement accessory,Yellow,Orange | Brown | Green,Glossy beadwork,Floral / sunny / handmade,sunflower | yellow | floral | beaded | lighter | bright | summer,/products/jwld-sunflower-yellow-beaded-lighter-01.webp,/products/jwld-sunflower-yellow-beaded-lighter-thumb.webp,1,active,false,"Handle gently. Avoid dropping, scraping, soaking, or picking at the beadwork/rhinestones. Wipe with a soft dry cloth.",Sunflower Yellow Beaded Lighter | JWLD,A bright yellow beaded lighter with stacked sunflower designs and green leaf accents.
